time	V(n010)
9.315754010612938e-02	2.379949e-01
9.336759358096856e-02	2.101350e-01
9.378770053064692e-02	1.787280e-01
9.400000000000000e-02	1.726279e-01
9.405655168820229e-02	1.742019e-01
9.416965506460685e-02	1.792452e-01
9.439586181741599e-02	1.974302e-01
9.484827532303426e-02	2.504708e-01
9.500000000000000e-02	2.726541e-01
9.504333425956511e-02	2.778898e-01
9.513000277869534e-02	2.836399e-01
9.530333981695580e-02	2.752024e-01
9.562290430365500e-02	2.094801e-01
9.600000000000000e-02	8.333039e-02
9.604620277511824e-02	6.365903e-02
9.613860832535473e-02	2.855118e-02
9.628072144006752e-02	-1.462017e-02
9.642840785225898e-02	-4.381682e-02
9.669048916969136e-02	-6.422736e-02
9.696893698714611e-02	-6.003477e-02
9.700000000000000e-02	-5.747871e-02
9.702547399312046e-02	-5.459717e-02
9.707642197936137e-02	-4.929379e-02
9.717831795184317e-02	-4.071843e-02
9.738210989680680e-02	-2.969130e-02
9.765063987208776e-02	-2.535203e-02
9.799046840161776e-02	-3.035700e-02
9.800000000000000e-02	-3.069516e-02
9.801661328499911e-02	-3.138322e-02
9.804983985499734e-02	-3.250535e-02
9.811629299499378e-02	-3.360889e-02
9.824919927498667e-02	-3.159635e-02
9.851501183497244e-02	-1.590960e-02
9.882409143320456e-02	1.603761e-02
9.900000000000000e-02	4.018216e-02
9.903559622002735e-02	4.612556e-02
9.910678866008203e-02	5.827352e-02
9.924917354019142e-02	8.374378e-02
9.953394330041018e-02	1.383938e-01
1.000000000000000e-01	2.329465e-01
1.000569539520438e-01	2.431619e-01
1.001708618561313e-01	2.591181e-01
1.003986776643063e-01	2.722619e-01
1.008378417322167e-01	2.600091e-01
1.010000000000000e-01	2.445855e-01
1.010538121225283e-01	2.379161e-01
1.011614363675848e-01	2.276655e-01
1.013766848576979e-01	2.203745e-01
1.018071818379240e-01	2.342700e-01
1.020000000000000e-01	2.505992e-01
1.020555085148965e-01	2.559546e-01
1.021665255446895e-01	2.626638e-01
1.023885596042754e-01	2.590703e-01
1.028287088368019e-01	2.164991e-01
1.030000000000000e-01	1.890549e-01
1.030538563832935e-01	1.802015e-01
1.031615691498805e-01	1.681986e-01
1.033769946830545e-01	1.647867e-01
1.036557666994629e-01	1.945463e-01
1.040000000000000e-01	2.650785e-01
1.040466991969106e-01	2.783980e-01
1.041400975907319e-01	3.030955e-01
1.043268943783744e-01	3.440871e-01
1.047004879536594e-01	4.054118e-01
1.050000000000000e-01	4.411651e-01
1.050747187150570e-01	4.478527e-01
1.052241561451710e-01	4.634742e-01
1.055230310053990e-01	5.031908e-01
1.060000000000000e-01	5.782824e-01
1.060597749720456e-01	5.888600e-01
1.061793249161368e-01	6.087813e-01
1.064184248043192e-01	6.434072e-01
1.068966245806840e-01	7.024836e-01
